pic_id,Views,tag,Camera_Make,Camera_Model,Aperture,Exposure_Program,ISO,Metering_Mode,Flash,Focal_Length,Color_Space,Lens_Model,latitude,longitude,county,region,country
51913955315,1546.0,sri lanka,FUJIFILM,X-T1,10.0,Program AE,400.0,Multi-segment,"Off, Did not fire",55.0,sRGB,XF18-55mmF2.8-4 R LM OIS,7.951184,80.998077,Polonnaruwa District,North Central Province,Sri Lanka
51912597260,1406.0,sri lanka,FUJIFILM,X-T1,6.4,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",18.0,sRGB,XF18-55mmF2.8-4 R LM OIS,7.881066,80.638275,Matale District,Central Province,Sri Lanka
51911193138,2329.0,sri lanka,HUAWEI,CLT-L04,1.8,Program AE,50.0,Multi-segment,No Flash,5.6,sRGB,XF18-55mmF2.8-4 R LM OIS,9.773039,80.276412,Jaffna District,Northern Province,Sri Lanka
51905276049,1316.0,sri lanka,HUAWEI,CLT-L04,1.8,Program AE,50.0,Multi-segment,No Flash,5.6,sRGB,XF18-55mmF2.8-4 R LM OIS,9.825135,80.170326,Jaffna District,Northern Province,Sri Lanka
51902116437,631.0,sri lanka,Canon,Canon EOS 90D,5.6,Shutter speed priority AE,100.0,Center-weighted average,No Flash,250.0,sRGB,EF-S55-250mm f/4-5.6 IS II,9.825135,80.170326,Jaffna District,Northern Province,Sri Lanka
51901204264,6055.0,sri lanka,Canon,Canon EOS 7D Mark II,6.3,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",500.0,sRGB,EF500mm f/4L IS USM,6.258861,81.404602,Hambantota District,Southern Province,Sri Lanka
51901527565,521.0,sri lanka,Canon,Canon EOS 7D Mark II,6.3,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",500.0,sRGB,EF500mm f/4L IS USM,6.258747,81.404422,Hambantota District,Southern Province,Sri Lanka
51898049442,907.0,sri lanka,Canon,Canon EOS 90D,9.0,Aperture-priority AE,100.0,Center-weighted average,No Flash,48.0,sRGB,EF-S18-55mm f/3.5-5.6 IS II,9.662696,80.005069,Jaffna District,Northern Province,Sri Lanka
51889988812,1204.0,sri lanka,NIKON CORPORATION,NIKON D610,10.0,Aperture-priority AE,100.0,Multi-segment,"Off, Did not fire",14.0,sRGB,EF-S18-55mm f/3.5-5.6 IS II,8.349611,80.396561,Anuradhapura District,North Central Province,Sri Lanka
51890990215,441.0,sri lanka,Canon,Canon EOS 7D Mark II,4.0,Aperture-priority AE,1600.0,Multi-segment,"Off, Did not fire",500.0,sRGB,EF500mm f/4L IS USM,6.305988,81.442786,Hambantota District,Southern Province,Sri Lanka
51889575549,2789.0,sri lanka,NIKON CORPORATION,NIKON D5600,11.0,Manual,100.0,Multi-segment,"Off, Did not fire",40.0,sRGB,EF500mm f/4L IS USM,6.000411,80.757865,Hambantota District,Southern Province,Sri Lanka
51888238941,569.0,sri lanka,Canon,Canon EOS 90D,11.0,Aperture-priority AE,100.0,Center-weighted average,No Flash,25.0,sRGB,EF-S18-55mm f/3.5-5.6 IS II,9.825135,80.170326,Jaffna District,Northern Province,Sri Lanka
51887019364,506.0,sri lanka,Canon,Canon EOS 7D Mark II,5.6,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",500.0,sRGB,EF500mm f/4L IS USM,6.260738,81.403005,Hambantota District,Southern Province,Sri Lanka
51887348935,430.0,sri lanka,Canon,Canon EOS 7D Mark II,5.0,Aperture-priority AE,800.0,Multi-segment,"Off, Did not fire",500.0,sRGB,EF500mm f/4L IS USM,6.335475,81.455563,Hambantota District,Southern Province,Sri Lanka
51882949784,8900.0,sri lanka,HUAWEI,CLT-L04,5.0,Aperture-priority AE,800.0,Multi-segment,"Off, Did not fire",500.0,Uncalibrated,EF500mm f/4L IS USM,9.828907,80.238454,Jaffna District,Northern Province,Sri Lanka
51881812031,3831.0,sri lanka,NIKON CORPORATION,NIKON D5600,9.0,Manual,200.0,Multi-segment,"Off, Did not fire",18.0,sRGB,EF500mm f/4L IS USM,6.000475,80.752315,Hambantota District,Southern Province,Sri Lanka
51876233491,3127.0,sri lanka,NIKON CORPORATION,NIKON D5600,9.0,Manual,200.0,Multi-segment,"Off, Did not fire",18.0,sRGB,EF500mm f/4L IS USM,6.002801,80.761985,Hambantota District,Southern Province,Sri Lanka
51863876632,6846.0,sri lanka,NIKON CORPORATION,NIKON D5600,9.0,Manual,200.0,Multi-segment,"Off, Did not fire",18.0,sRGB,EF500mm f/4L IS USM,5.998362,80.748252,Hambantota District,Southern Province,Sri Lanka
52189774772,9015.0,sri lanka,NIKON,COOLPIX P900,5.0,Program AE,160.0,Multi-segment,"Off, Did not fire",98.1,sRGB,,,,,,
52139999359,3005.0,sri lanka,Canon,Canon EOS 6D,5.6,Program AE,800.0,Multi-segment,"Off, Did not fire",105.0,sRGB,MACRO 100mm F2.8,,,,,
